reference,source,citation.if.no.doi,size.or.mass.measurement.method,feeding.rate.measurement.method,experiment.comments,acclimation.time.h,adaptation.method,feeding.replicates,copepod.sampling.area
Almeda et al (2018),https://doi.org/10.1002%2Flno.10969,,microscope observations,dilution grazing experiment,Centropages hamatus,,grown in lab,3,"Skagerrak, Sweden"
Saiz et al (2014),https://doi.org/10.4319/lo.2014.59.6.2077,,microscope observations,dilution grazing experiment,size measurements using ImageJ software,,,2,"Laboratory culture, Institut de Ciències del Mar, Barcelona, Spain"
Wyckmans et al (2007),https://doi.org/10.1016/j.jembe.2007.02.002,,microscope observations and isotopes measurements,dilution grazing experiment,"Harpaticus obscurus, prey multiculture",,,3,North coast of France
Wyckmans et al (2007),https://doi.org/10.1016/j.jembe.2007.02.002,,microscope observations and isotopes measurements,dilution grazing experiment,"Paramphiascella fulvofasciata, prey multiculture",,,3,Intertidal mudflats in Germany
Wyckmans et al (2007),https://doi.org/10.1016/j.jembe.2007.02.002,,microscope observations and isotopes measurements,dilution grazing experiment,"Trigriopus brevicornis, prey multiculture",,,3,Rock pools in France
Merrell and Stoecker (1998),https://doi.org/10.1093/plankt/20.2.289,,microscope observations,dilution grazing experiment,prey multiculture,,24,4,"Miltiscale Experiment Ecosystem Research and Choptank River Estuary, USA"
Bonnet et al (2004),https://doi.org/10.1093/plankt/fbh087,,,dilution grazing experiment,fed only nauplii,,12,3,"Plymouth, UK"
Fernandez (1979),https://doi.org/10.1007/BF00389185,,microscope observations and weight observations,dilution grazing experiment,,,,1,"La Jolla, Califronia, USA"
Kiørboe and Runge unpubl.,,,,,"prey preference measurement, extracted from Hansen et al. (1994)",,,NA,
Gliwicz (1977),https://rcin.org.pl/Content/74573/PDF/WA058_86904_P2840-T25_Eko-Pol-A-Nr-2.pdf,"Food size selection and seasonal succession of filter-feeding zooplankton in a eutrophic lake, Ekologia Polska, Volume 25, 1977, pp. 179-225.",,,"prey preference measurement, extracted from Hansen et al. (1994)",,,NA,
Wolgemuth unpubl.,,,,,"prey preference measurement, extracted from Hansen et al. (1994)",,,NA,
Saiz and Kiørboe (1995),https://doi.org/10.3354/meps122147,,microscope observations,dilution grazing experiment,experiments with turbulence,24,sated,1,"Laboratory culture, Denmark"
Henriksen et al (2007),https://doi.org/10.3354/meps331119,,microscope observations,dilution grazing experiment,experiment recorded on a film,72,sated,3,"Laboratory culture, Institut de Ciències del Mar, Barcelona, Spain"
Lampitt (1978),https://doi.org/10.4319/lo.1978.23.6.1228,,,dilution grazing experiment,,24,sated,1,"Loch Turnaig, UK"
Lampitt and Gamble (1982),https://doi.org/10.1007/BF00397192,,,dilution grazing experiment,,24,sated,2,"Loch Turnaig, UK"
Saiz et al (2003),https://doi.org/10.4319/lo.2003.48.3.1304,,microscope observations,dilution grazing experiment,size measurements with the NIH software,0,,4,"Barcelona, Spain"
Kiørboe (2008),https://doi.org/10.1007/s00442-007-0893-x,,microscope observations,dilution grazing experiment,experiment recorded on a film,24,starved,2,Laboratory culture
Nakamura and Turner (1997),https://doi.org/10.1093/plankt/19.9.1275,,microscope observations,dilution grazing experiment,prey multiculture,24,sated,6,"Buzzards bay, Massachusetts, USA"
Drits and Semenova (1984),https://doi.org/10.1594/PANGAEA.834764,"Experimental Investigations of the Feeding of Oithona similis Claus, Oceanology, Volume 24, 1984, pp. 755-759",,,data taken from Kiørboe (2016),,,NA,
Almeda et al (2010),https://doi.org/10.1016/j.jembe.2010.03.002,,microscope observations,dilution grazing experiment,,3,sated,3,"Barcelona, Spain"
Zamora-Terol and Saiz (2013),https://doi.org/10.4319/lo.2013.58.1.0376,,microscope observations,dilution grazing experiment,,48,starved,3,"Laboratory culture, Institut de Ciències del Mar, Barcelona, Spain"
Dutz (1998),https://doi.org/10.3354/meps175097,,microscope observations,dilution grazing experiment,,24,sated,3,"Helgoland, German Bight, Germany"
Uye (1986),https://doi.org/10.1007/BF00392743,,,dilution grazing experiment,,,,1,"Harima Nada, Japan"
Durbin and Durbin (1992),https://doi.org/10.4319/lo.1992.37.2.0361,,,dilution grazing experiment,,72,sated,2,"Naragansett Bay, Rhode Island, USA"
Durbin and Durbin (1990),https://doi.org/10.3354/meps068023,,carbon mass,dilution grazing experiment,,24,sated,3,"Naragansett Bay, Rhode Island, USA"
Kiørboe et al (1985),https://doi.org/10.3354/meps026085,,microscope observations,dilution grazing experiment,,,,4,Laboratory culture
Kiørboe et al (1996),https://doi.org/10.3354/meps143065,,,dilution grazing experiment,,24,,4,Laboratory culture
Paffenhöfer and Stearns (1988),https://doi.org/10.3354/meps042033,,microscope observations,dilution grazing experiment,experiment recorded on a film,48,sated,3,
Saiz and T (1995),https://doi.org/10.3354/meps122147,,microscope observations,dilution grazing experiment,experiments with turbulence,24,sated,1,Laboratory culture from Denmark
Støttrup and Jensen (1990),https://doi.org/10.1016/0022-0981(90)90216-Y,,microscope observations,dilution grazing experiment,,,,3,Laboratory culture
Calbet et al (2007),https://doi.org/10.1007/s00227-006-0468-0,,microscope observations,dilution grazing experiment,feeding estimated from fecal pellet production,,,2,Laboratory culture
Robertson and Frost (1977),https://doi.org/10.1016/0022-0981(77)90068-5,,microscope observations,dilution grazing experiment,,12,sated,2,"Puget Sound, Washington, USA"
Nejstgaard et al (1995),https://doi.org/10.1016/1054-3139(95)80050-6,,,dilution grazing experiment,feeding estimated from gut content of pigments and prey remova in experiment bottles,4,sated,1,"Raunefjord, Norway"
Frost (1972),https://doi.org/10.4319/lo.1972.17.6.0805,,,dilution grazing experiment,predator size taken from Kiørboe (2016),,,2,"Puget Sound, Washington, USA"
Liu and Wang (2002),https://doi.org/10.1007/s00227-001-0714-4,,,dilution grazing experiment,,24,sated,3,"Dapeng Bay, Hong Kong, China"
Isari and Saiz (2011),https://doi.org/10.1093/plankt/fbq149,,microscope observations,dilution grazing experiment,,24,sated,5,"Barcelona, Spain"
Yen (1985),https://doi.org/10.4319/lo.1985.30.3.0577,,microscope observations,dilution grazing experiment,,,,8,"Puget Sound, Washington, USA"
Yen (1987),https://doi.org/10.1016/0022-0981(87)90074-8,,,dilution grazing experiment,feeding on fish larvae,,,5,"Korstjorden, Norway"
Sautour and Castel (1993),https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.vliz.be/imisdocs/publications/287003.pdf&ved=2ahUKEwjGp7PF2tmVAxXVSPEDHZdGG_UQFnoECCMQAQ&usg=AOvVaw3rHj-1UYoVa5awLBcfh4Bq,"Feeding behaviour of the coastal copepod Euterpina acutifrons on small particles, Cah. Biol. Mar, Volume 34(2), pp. 239-251.",microscope observations,dilution grazing experiment,ingestion measured in Chla,2,starved,6,"Arachon Bay, France"
Nassogne (1970),https://doi.org/10.1007/BF01609911,,,dilution grazing experiment,,,,NA,Laboratory culture
Frost et al (1983),https://doi.org/10.1016/0198-0149(83)90029-8,,,dilution grazing experiment,ingestion measured in Chla,,,4,Subarctic Pacific
Paffenhöfer (1993),https://doi.org/10.1093/plankt/15.1.37,,microscope observations,dilution grazing experiment,,12,,NA,"Georgia, USA"
Schultz and Kiorboe (2009),https://doi.org/10.1093/plankt/fbp010,,microscope observations,dilution grazing experiment,prey potentially toxic,24,starved,3,"Oslofjorden, Norway?"
Hooff and Bollens (2004),https://doi.org/10.1093/plankt/fbp010,,microscope observations,dilution grazing experiment,,4,starved,3,"San Francisco Estuary, California, USA"
Ambler and Frost (1974),https://doi.org/10.4319/lo.1974.19.3.0446,,microscope observations,dilution grazing experiment,,,starved,5,"Puget Sound, Washington, USA"
Uye and Kayano (1994a),https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://hiroshima.repo.nii.ac.jp/record/2010865/files/BullPlanktonSocJapan_40-2_173.pdf&ved=2ahUKEwjLzrPi2tmVAxXoR_EDHQVpAsgQFnoECBcQAQ&usg=AOvVaw3_ip4VhkoWx_sJq61u5HFY,"Predatory feeding behavior of Tortanus forcipatus on three different prey, Bull Plankt Soc Japan, Volume 40, pp. 173–176",microscope observations,dilution grazing experiment,,0,,6,"Fukuyama Harbor, Japan"
Uye and Kayano (1994b),https://doi.org/10.1163/193724094X00056,,microscope observations,dilution grazing experiment,,20,starved,3,"Fukuyama Harbor, Japan"
Besiktepe and Dam (2002),https://doi.org/10.3354/meps229151,,microscope observations,dilution grazing experiment,,48,sated,6,Laboratory culture
Sommer et al (2002b),https://doi.org/10.3354/meps239251,,isotopes measurements,dilution grazing experiment,feeding estimated using radioactive carbon,4,,2,Gulf of Aqaba
Rey et al (2001),https://doi.org/10.3354/meps216151,,microscope observations,dilution grazing experiment,,3,,4,"Plymouth, UK"
Marinho da Costa and Fernandez (2002),https://doi.org/10.1016/S0022-0981(02)00132-6,,,dilution grazing experiment,,24,starved,4,"Barcelona, Spain"
Ikeda (1977),https://doi.org/10.1016/0022-0981(77)90070-3,,microscope observations,dilution grazing experiment,,0,,10,"Townsville, Queensland, Australia"
Klein Breteler et al (1990),https://doi.org/10.1016/0022-0981(90)90117-U,,microscope observations,dilution grazing experiment,,,,1,Laboratory culture
Rey-Rassat et al (2002),https://doi.org/10.3354/meps238125,,carbon mass with Carbo-Erba Elemental Analyser,dilution grazing experiment,,,,4,"Plymouth, UK"
Mullin and Brooks (1967),https://doi.org/10.4319/lo.1967.12.4.0657,,microscope observations,dilution grazing experiment,prey multiculture,,,NA,"La Jolla, Califronia, USA"
Moeller and Nielsen (2001),https://doi.org/10.1093/plankt/23.5.527,,microscope observations,dilution grazing experiment,,72,sated,3,Laboratory culture
Gophen and Harris (1981),https://doi.org/10.1017/S0025315400047020,,carbon mass,dilution grazing experiment,feeding on artemia,,,10,"Plymouth, UK"
